Four Weddings and a Funeral	0	36	The film follows the adventures of a group of friends through the eyes of Charles, a good-natured but socially awkward man living in London, who becomes smitten with Carrie, an American whom Charles keeps meeting at four weddings and a funeral.
Four Weddings and a Funeral	1	36	The first wedding is that of Angus and Laura, at which Charles is the best man.
Four Weddings and a Funeral	2	36	Charles and his single friends wonder whether they will ever get married.
Four Weddings and a Funeral	3	36	Charles meets Carrie and spends the night with her.
Four Weddings and a Funeral	4	36	Carrie pretends that, now they have slept together, they will have to get married, to which Charles endeavours to respond before realising she is joking.
Four Weddings and a Funeral	5	36	Carrie observes that they may have missed an opportunity and then returns to America.
Four Weddings and a Funeral	6	36	The second wedding is that of Bernard and Lydia, a couple who became romantically involved at the previous wedding.
Four Weddings and a Funeral	7	36	Charles encounters Carrie again, but she introduces him to her fiancé, Sir Hamish Banks, a wealthy politician.
Four Weddings and a Funeral	8	36	At the reception, Charles finds himself seated with several ex-girlfriends who relate embarrassing stories about his inability to be discreet and afterwards bumps into Henrietta, known among Charles' friends as "Duckface", with whom he had a particularly difficult relationship.
Four Weddings and a Funeral	9	36	Charles retreats to an empty hotel suite, seeing Carrie and Hamish leave in a taxicab, only to be trapped in a cupboard after the newlyweds stumble into the room to have sex.
Four Weddings and a Funeral	10	36	After Charles awkwardly exits the room, Henrietta confronts him about his habit of "serial monogamy", telling him he is afraid of letting anyone get too close to him.
Four Weddings and a Funeral	11	36	Charles then runs into Carrie, and they end up spending another night together.
Four Weddings and a Funeral	12	36	A month later, Charles receives an invitation to Carrie's wedding.
Four Weddings and a Funeral	13	36	While shopping for a present, he coincidentally encounters Carrie and ends up helping her select her wedding dress.
Four Weddings and a Funeral	14	36	Carrie lists her more than thirty sexual partners.
Four Weddings and a Funeral	15	36	Charles later awkwardly tries confessing his love to her and hinting that he would like to have a relationship with her, to no avail.
Four Weddings and a Funeral	16	36	The third wedding is that of Carrie and Hamish.
Four Weddings and a Funeral	17	36	Charles attends, depressed at the prospect of Carrie marrying Hamish.
Four Weddings and a Funeral	18	36	At the reception, Gareth instructs his friends to seek potential mates; Fiona's brother, Tom, stumbles through an attempt to connect with a woman until she reveals that she is the minister's wife, while Charles's flatmate, Scarlett, strikes up a conversation with an American named Chester.
Four Weddings and a Funeral	19	36	As Charles watches Carrie and Hamish dance, Fiona deduces his feelings about Carrie.
Four Weddings and a Funeral	20	36	When Charles asks why Fiona is not married, she confesses that she has loved Charles since they first met years earlier.
Four Weddings and a Funeral	21	36	Charles is appreciative and empathetic but does not requite her love.
Four Weddings and a Funeral	22	36	During the groom's toast, Gareth dies of a heart attack.
Four Weddings and a Funeral	23	36	At Gareth's funeral, his partner Matthew recites the poem "Funeral Blues" by Auden, commemorating his relationship with Gareth.
Four Weddings and a Funeral	24	36	Charles and Tom discuss whether hoping to find your "one true love" is just a futile effort and ponder that, while their clique have always viewed themselves as proud to be single, Gareth and Matthew were a "married" couple all the while.
Four Weddings and a Funeral	25	36	The fourth wedding is ten months later.
Four Weddings and a Funeral	26	36	Charles has decided to marry Henrietta.
Four Weddings and a Funeral	27	36	However, shortly before the ceremony, Carrie arrives, revealing to Charles that she and Hamish are separated.
Four Weddings and a Funeral	28	36	Charles has a crisis of confidence, which he reveals to his deaf brother David and Matthew.
Four Weddings and a Funeral	29	36	When the vicar asks whether anyone knows a reason why the couple should not marry, David, who was reading the vicar's lips, asks Charles to translate for him, and says in sign language that he suspects the groom loves someone else.
Four Weddings and a Funeral	30	36	The vicar asks whether Charles does love someone else, and Charles replies, "I do".
Four Weddings and a Funeral	31	36	Henrietta punches Charles and the wedding is halted.
Four Weddings and a Funeral	32	36	Carrie visits Charles to apologise for attending the wedding.
Four Weddings and a Funeral	33	36	Charles confesses that, while standing at the altar, he realised that for the first time in his life he totally and utterly loved one person, "and it wasn't the person standing next to me in the veil".
Four Weddings and a Funeral	34	36	Charles makes a proposal of lifelong commitment without marriage to Carrie, who accepts.
Four Weddings and a Funeral	35	36	Henrietta marries an officer in the Grenadier Guards; David marries his girlfriend Serena; Scarlett marries Chester; Tom marries his distant cousin Deirdre (whom he met, for the second time in 25 years, at Charles's wedding); Matthew finds a new partner; Fiona marries Prince Charles; and Charles and Carrie have a young son.
Harold and Maude	0	15	Harold Chasen (Bud Cort) is a young man obsessed with death.
Harold and Maude	1	15	He stages elaborate fake suicides, attends funerals and drives a hearse, all to the chagrin of his socialite mother (Vivian Pickles).
Harold and Maude	2	15	At another stranger's funeral service, Harold meets Maude (Ruth Gordon), a 79-year-old woman who shares Harold's hobby of attending funerals.
Harold and Maude	3	15	He is entranced by her quirky outlook on life, which is bright and excessively carefree in contrast with his morbidity.
Harold and Maude	4	15	The pair form a bond and Maude slowly shows Harold the pleasures of art and music (including how to play banjo), and teaches him how to "[make] the most of his time on earth".
Harold and Maude	5	15	Meanwhile, Harold's mother is determined, against Harold's wishes, to find him a wife.
Harold and Maude	6	15	One by one, Harold frightens and horrifies each of his appointed dates, by appearing to commit gruesome acts such as self-immolation, self-mutilation and seppuku.
Harold and Maude	7	15	As they become closer, their friendship soon blossoms into a romance and Harold announces that he will marry Maude, resulting in disgusted outbursts from his family, psychiatrist, and priest.
Harold and Maude	8	15	Maude's 80th birthday arrives and Harold throws a surprise party for her.
Harold and Maude	9	15	As the couple dance, Maude tells Harold that she "couldn't imagine a lovelier farewell".
Harold and Maude	10	15	Confused, he questions Maude as to her meaning and she reveals that she has taken an overdose of sleeping pills and will be dead by morning.
Harold and Maude	11	15	She restates her firm belief that eighty is the proper age to die.
Harold and Maude	12	15	Harold rushes Maude to the hospital, where she is treated unsuccessfully and dies.
Harold and Maude	13	15	In the final sequence, Harold's car is seen going off a seaside cliff but after the crash, the final shot reveals Harold standing calmly atop the cliff, holding his banjo.
Harold and Maude	14	15	After gazing down at the wreckage, he dances away, picking out on his banjo Cat Stevens' "If You Want to Sing Out, Sing Out".
The Wedding Planner	0	55	After planning and coordinating another successful wedding ceremony, San Francisco wedding planner Mary (Jennifer Lopez) is re-introduced to childhood acquaintance Massimo (Justin Chambers) by her father (Alex Rocco) who wants the two of them to marry.
The Wedding Planner	1	55	Mary, however, is not impressed and instead remains focused on her ambition to become a partner at the wedding company she works for.
The Wedding Planner	2	55	As a way to persuade her boss, Geri (Kathy Najimy), to accept her as a partner, Mary pursues and is hired by catering heiress, Fran Donolly (Bridgette Wilson-Sampras) to plan her society wedding to long term boyfriend 'Eddie.
The Wedding Planner	3	55	' While on the phone reporting her success Mary's shoe heel gets stuck in a manhole cover.
